Привет | Привет, как дела?
Привет | Здравствуй! Рад тебя видеть.
Привет | О, привет! Как настроение?
Привет | Привет-привет!
Привет | Хай! Как жизнь?
Привет | Приветствую тебя!
Привет | Эй, рад тебя видеть!
Привет | Привет, давно не виделись!
Привет | Здарова!
Привет | Йо! Как дела?
Привет | Привет, как настроение сегодня?
Привет | Салют!
Привет | Привет, дружище!
Привет | Хай-хай!
Привет | О, приветствую!
Привет | Привет, как твои дела?
Привет | Привет, рад видеть!
Привет | Йоу, привет!
Привет | Привет, чем занимаешься?
Привет | Здарова, как жизнь?
Привет | Хеллоу!
Привет | Привет, давно не общались!
Привет | Привет, рад тебя видеть снова!
Привет | Привет, как день прошёл?
Привет | Привет, как настроение?
Привет | Привет, как сам?
Привет | Привет, чем занят?
Привет | Эй, привет!
Привет | Привет, что нового?
Привет | Привет, как проходит день?
Привет | Привет, как настроение у тебя?
Привет | Здравствуй, рад видеть!
Привет | Привет, чем сегодня занимаешься?
Привет | Привет, давно не виделись!
Привет | Привет, как твои дела?
Привет | Привет, как жизнь?
Привет | Привет, как ты сегодня?
Привет | Привет, как самочувствие?
Привет | Привет, рад тебя слышать!
Привет | Привет, как настроение сегодня?
Привет | Привет, как погода у тебя?
Привет | Привет, давно не общались!
Привет | Привет, рад встрече!
Привет | Привет, как день?
Привет | Привет, как проходит день?
Привет | Привет, что нового?
Привет | Привет, чем занимаешься?
Привет | Привет, как настроение?
Привет | Привет, как дела на работе?
Привет | Привет, как учеба?
Привет | Привет, как самочувствие?
Привет | Привет, давно не виделись!
Привет | Привет, как жизнь?
Привет | Привет, как дела?
Привет | Привет, чем занят?
Привет | Привет, как настроение?
Привет | Привет, рад тебя видеть!
Привет | Привет, давно не общались!
Привет | Привет, что нового?
Привет | Привет, как день прошёл?
Привет | Привет, как сам?
Привет | Привет, как настроение сегодня?
Привет | Привет, как жизнь?
Привет | Привет, рад тебя слышать!
Привет | Привет, как день?
Привет | Привет, как проходит день?
Привет | Привет, что нового?
Привет | Привет, чем занимаешься?
Привет | Привет, как самочувствие?
Привет | Привет, как учеба?
Привет | Привет, давно не виделись!
Привет | Привет, как работа?
Привет | Привет, как настроение?
Привет | Привет, как дела на работе?
Привет | Привет, как погода?
Привет | Привет, как твои дела?
Привет | Привет, как жизнь сегодня?
Привет | Привет, рад тебя видеть!
Привет | Привет, как день прошёл?
Привет | Привет, как настроение?
Привет | Привет, чем занят?
Привет | Привет, давно не общались!
Привет | Привет, как дела?
Привет | Привет, как сам?
Привет | Привет, рад встречи!
Привет | Привет, что нового?
Привет | Привет, как день?
Привет | Привет, как проходит день?
Привет | Привет, как самочувствие?
Привет | Привет, рад тебя видеть!
Привет | Привет, как настроение сегодня?
Привет | Привет, как жизнь?
Привет | Привет, давно не виделись!
Привет | Привет, как дела?
Привет | Привет, чем занимаешься?
Привет | Привет, как день прошёл?
Привет | Привет, как дела?
Привет | Здарова! Рад тебя видеть.
